src_id,dest_id,routes,path
5598639595,272048015,X,"5598639595,2607436609,2607436581,2607436589,5598639538,5598639537,5598639534,5598639539,2607436591,2607436592,2607436593,2607436595,2607436596,2607436597,5027298043,2599137940,5597886710,2599137941,5027298041,2599137942,2599137961,2599137943,5027298039,2599137944,2599137945,265672754,5674097191,5601534491,5601534481,5601534480,271794589,3933340526,5598638811,5601534492,3933340530,272048015"
95709746,265674141,X,"95709746,2765507080,862275136,265674141"
562412582,95709746,X,"562412582,562412555,1907560774,3940895510,3940895511,2607436633,3940895512,1907560773,3940895513,95708932,2607436572,1907560771,2607436574,95707084,2607436563,2607436562,2283899823,2283899822,95709746"
2607436578,562412582,X,"2607436578,559373757,559748659,5674106219,2276471063,95708764,2276471058,277606337,562412582"
95717604,95712762,W,"95717604,95717425,2584424872,95713482,95717603,498650431,271743218,5600009205,95713435,95716934,3942697388,5599935571,3942697391,3942697390,3942441850,3942441851,3942441833,3942697389,3942697394,5599935565,3942697385,3942697382,3942697370,5674150447,3942697374,3942697373,3942441830,3942441831,3942441832,3942697372,3942697371,5599935584,3942688440,559373141,5599954334,95716931,5599954324,5599926118,3942353082,3942353122,5598433940,3942353119,3942353105,3942353106,3942353107,3942353123,3942353130,3942353108,3942353109,3942353110,3942353131,3942353132,5598433939,3942353096,277046658,95712770,3078996367,273245111,566900815,271830416,3921122579,566900839,3921122580,95712771,2588617974,518297464,265024841,272591451,95712762"
95715559,95712801,W,"95715559,2585422684,2432703964,95715560,2432703968,2432703973,2432703978,2432703980,95712801"
95715556,95715559,W,"95715556,761542977,95715557,597021867,597021872,597021870,95715558,95710949,2432703957,95715559"
3900961309,95715556,W,"3900961309,596986224,3119668797,596986226,256206397,390375019,2577777830,95715556"
95712762,95717425,W,"95712762,272591451,265024841,518297464,2588617974,95712771,3921122580,566900839,3921122579,271830416,566900815,273245111,3078996367,95712770,277046658,3942353096,5598433938,3942353118,3942353130,3942353123,5598433941,3942353082,5599926118,5599954324,95716931,5599954334,559373141,3942688440,5599935583,3942697369,3942441826,3942441827,3942441828,3942441819,3942697375,5674150448,3942697370,3942697382,3942697385,5599935566,3942697393,95716933,3942441847,3942441839,3942697386,5599935572,3942697388,95716934,95713435,5600009205,271743218,498650431,95717603,95713482,2584424872,95717425"
1783152169,3936513778,V,"1783152169,1783152170,1901843115,531015804,1901843119,1783152172,1228850335,5674119320,531015746,5674121522,3936513050,3936513793,5674121527,531015740,3936513789,3936513786,3936513785,3936513780,3936513779,3936513778"
